adaptive_bright_gamma,adaptive_bright_target,adaptive_dark_base,adaptive_dark_gain,adaptive_dark_gamma,adaptive_dark_weight,color_gt_weight,edge_gt_weight,edge_kd_weight,kd_dark_gain,kd_weight,lr,number,ssim_dark_gain,ssim_weight,state,teacher_ssim_weight,user_best_psnr,user_best_psnr_score,user_best_ssim,user_best_ssim_at_best_psnr,user_best_ssim_psnr,user_best_ssim_score,user_selected_checkpoint,user_trial_dir,value
0.8972747549495865,target,0.012350696577481468,1.951855763459191,1.931908225280675,0.03561019439085495,0.08011150117432088,0.10661761457749351,0.002904180608409973,0.8783927301736861,0.4852142919229748,0.00011844319751820385,0,0.15601864044243652,0.24966462104925913,COMPLETE,0.03247956162689621,17.03707409518329,21.13742274659244,0.8202481865882874,0.8200697302818298,17.024010455631323,21.12525138857276,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_000,21.13742274659244
0.6650305778079968,low,0.11980426929501584,1.2227751014617785,1.547863310179268,0.04409771327642757,0.06560699842170359,0.05663618432936916,0.014607232426760909,0.5183340223705389,0.35742692948967136,0.00010074238942079329,1,0.6118528947223795,0.17280728504951048,COMPLETE,0.03115950885216335,16.980875928824684,21.059198279803535,0.8156644701957703,0.8156644701957703,16.980875928824684,21.059198279803535,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_001,21.059198279803535
1.5275311980955748,target,0.020633112669131037,1.8549126433260512,1.0140479705600272,0.0197343313857243,0.03220382348447788,0.06401524937396012,0.03421165132560785,1.1587584396894712,0.48466566117599996,5.807932994623234e-05,2,0.3046137691733707,0.3020993370291153,COMPLETE,0.027813769120510708,17.01242915075831,21.0971438018661,0.8169429302215576,0.8169429302215576,17.01242915075831,21.0971438018661,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_002,21.0971438018661
0.9798886444834543,low,0.02713637334632284,0.920528529221223,1.2218836635031711,0.008609082809111277,0.02884925020519195,0.11218742350231167,0.02989499894055426,1.1635015533174702,0.2554563366576581,0.00017606794027339345,3,0.9394989415641891,0.2937832058402786,COMPLETE,0.09158618803421191,16.993376694849008,21.096636437108987,0.8206519484519958,0.8206519484519958,16.993376694849008,21.096636437108987,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_003,21.096636437108987
0.7036625124277265,low,0.4241144063085703,1.5664114688655797,1.8340325546975134,0.047960467239636484,0.02055221171236024,0.03987156815341724,0.038612238464832874,0.16910906996971517,0.3628088249474746,9.547826400522686e-05,4,0.07455064367977082,0.3005492451885099,COMPLETE,0.09895095492804139,17.04768052408728,21.170846131539673,0.8246331214904785,0.8246331214904785,17.04768052408728,21.170846131539673,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_004,21.170846131539673
1.3857880765972945,low,0.07175654756298101,1.5411916595567923,1.817256077787036,0.018517119608276622,0.10872127425763264,0.08375574713552131,0.0364803089169032,0.397077629823179,0.38698943804826735,0.000364815624485558,5,0.3109823217156622,0.11588958757150591,COMPLETE,0.046014665762139764,17.117787719915768,21.231989682863613,0.8273388147354126,0.8228403925895691,17.115844832169913,21.252538905846976,best_ssim.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_005,21.252538905846976
0.7077718737603101,low,0.24622975382137782,1.608881821668878,0.9660770647865959,0.009980395666848415,0.11075664739260929,0.07085706911647027,0.015717799053816334,0.030502952092914225,0.32826230550756486,0.00016661067877731168,6,0.03142918568673425,0.12697285674832612,COMPLETE,0.07091283290110244,17.06403901260242,21.167471310309026,0.8206864595413208,0.8206864595413208,17.06403901260242,21.167471310309026,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_006,21.167471310309026
1.1979509040767589,target,0.19080208498311832,0.5760830792442828,0.9646962600671067,0.059975164090229405,0.10074401551640626,0.07393422419156506,0.044627949924498894,0.7600845078125081,0.4424361138693251,0.0004252728490529761,7,0.8036720768991145,0.3178651475469294,COMPLETE,0.034925604710882865,17.052696959826317,21.18155957922634,0.8257725238800049,0.8257725238800049,17.052696959826317,21.18155957922634,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_007,21.18155957922634
0.9524952141555098,low,0.2181777614275764,1.9548513323535373,2.139915671907378,0.035114717668691675,0.07187906217433661,0.05232029320207553,0.04714548519562596,0.5008932037785347,0.3532241907732697,5.080683422651434e-05,8,0.1198653673336828,0.15552695261768257,COMPLETE,0.047009213712290235,16.99906355557864,21.072804097513608,0.8152077198028564,0.8147481083869934,16.99841830026022,21.0744568992745,best_ssim.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_008,21.0744568992745
1.6662674614602047,target,0.5913902724663604,0.7872884344184007,1.6754168758494057,0.01942360571179168,0.03448948720912231,0.04395618906669724,0.045413294298332685,0.7314772007758762,0.21106608420635986,9.634085554738111e-05,9,0.05147875124998935,0.22566975580721535,COMPLETE,0.042291717138928916,17.039182509383952,21.136351551017558,0.8194338083267212,0.8194338083267212,17.039182509383952,21.136351551017558,best.pt,experiments\optuna\ghost_esp_dark_w12_m24_gain3_res035_adaptive_loss\trial_009,21.136351551017558
