epoch,train_loss,val_loss,val_psnr,val_ssim,teacher_psnr,teacher_ssim
1,0.26397825458220076,0.10928190499544144,17.041217455390566,0.8230254650115967,25.386658057179833,0.9536386132240295
2,0.26211231627634596,0.10846293717622757,17.084922149564065,0.8246513605117798,25.386658057179833,0.9536386132240295
3,0.26616099583251135,0.11048699170351028,17.006501041424915,0.8148968815803528,25.386658057179833,0.9536386132240295
4,0.2664831834180014,0.11046863347291946,16.998591358704385,0.8130338191986084,25.386658057179833,0.9536386132240295
5,0.26739102389131275,0.11092375218868256,16.97624291557204,0.8120481967926025,25.386658057179833,0.9536386132240295
6,0.2675400216664587,0.11190067231655121,16.931845801563373,0.8093138337135315,25.386658057179833,0.9536386132240295
7,0.2646793723106384,0.10858131945133209,17.117787719915768,0.8228403925895691,25.386658057179833,0.9536386132240295
8,0.262046323290893,0.1093636155128479,17.07694523394724,0.820692777633667,25.386658057179833,0.9536386132240295
9,0.26736542476075037,0.10972989350557327,17.056916875038304,0.820530891418457,25.386658057179833,0.9536386132240295
10,0.26606517817292896,0.10839629173278809,17.115844832169913,0.8273388147354126,25.386658057179833,0.9536386132240295
