epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.3315555453300476,0.38014742732048035,7.443296306408294,0.19614777714014053
2,0.321897242218256,0.36175209283828735,7.794577072293799,0.23780778795480728
3,0.3170651085674763,0.34656378626823425,8.099860476259146,0.27319464087486267
4,0.32601409777998924,0.33118709921836853,8.431175794178959,0.3108309209346771
5,0.2959166020154953,0.32147417962551117,8.626340935042936,0.3208867609500885
6,0.30287009477615356,0.31972479820251465,8.647476299534688,0.32134246826171875
7,0.3028022311627865,0.3178640305995941,8.673808871582063,0.32471713423728943
8,0.28968531638383865,0.3182217627763748,8.667934592671852,0.3239341825246811
9,0.28400070033967495,0.3141406923532486,8.752812945552625,0.3276456445455551
10,0.2760297656059265,0.3064751923084259,8.920348328671265,0.33795028924942017
11,0.27592312172055244,0.2978909909725189,9.110322791261616,0.3508787751197815
12,0.2604609914124012,0.2887483537197113,9.32563524812008,0.36719830334186554
13,0.2736782878637314,0.2853555530309677,9.398941186098579,0.3734181523323059
14,0.25825269147753716,0.2792884111404419,9.544654274957015,0.3841365575790405
