epoch,train_loss,val_loss,val_psnr,val_ssim,teacher_psnr,teacher_ssim
1,0.2332720085978508,0.10872675478458405,17.1893691992977,0.8288108110427856,25.386658057179833,0.9536386132240295
2,0.2393494567700795,0.10807716101408005,17.226421530554298,0.8301099538803101,25.386658057179833,0.9536386132240295
3,0.2379345084939684,0.10863246768712997,17.19530476646073,0.8285338878631592,25.386658057179833,0.9536386132240295
4,0.23434451861040934,0.10865285247564316,17.192759776922802,0.8295240998268127,25.386658057179833,0.9536386132240295
5,0.23501850345305034,0.1083943173289299,17.21836613754065,0.8295097351074219,25.386658057179833,0.9536386132240295
6,0.24168017080851964,0.10616513341665268,17.34694090273201,0.8383598923683167,25.386658057179833,0.9536386132240295
7,0.22795553931168147,0.10666022449731827,17.320246646963906,0.8374027013778687,25.386658057179833,0.9536386132240295
8,0.23483571303742273,0.10756885260343552,17.276478547753435,0.83298659324646,25.386658057179833,0.9536386132240295
9,0.2352943303329604,0.1062360480427742,17.3527225880998,0.8385703563690186,25.386658057179833,0.9536386132240295
10,0.2348210151706423,0.10517285764217377,17.39712235336181,0.842217206954956,25.386658057179833,0.9536386132240295
11,0.23223502933979034,0.1085672527551651,17.206486798352383,0.8299331665039062,25.386658057179833,0.9536386132240295
12,0.2361716628074646,0.10611499100923538,17.33140058942953,0.8395949006080627,25.386658057179833,0.9536386132240295
13,0.23588118915046966,0.10884088277816772,17.187133705341743,0.8274720311164856,25.386658057179833,0.9536386132240295
14,0.2395022852080209,0.10744170844554901,17.26425326889795,0.8332027196884155,25.386658057179833,0.9536386132240295
15,0.23734423837491445,0.10702390968799591,17.293034460694887,0.8352662920951843,25.386658057179833,0.9536386132240295
16,0.23733286666018621,0.10792243480682373,17.235323850820734,0.8314759135246277,25.386658057179833,0.9536386132240295
17,0.2387137370450156,0.1082802563905716,17.224984060433417,0.8294909596443176,25.386658057179833,0.9536386132240295
18,0.23540068098476954,0.10709144175052643,17.277173384979186,0.834448516368866,25.386658057179833,0.9536386132240295
19,0.23283702986580984,0.10886484384536743,17.178967426716817,0.8282049298286438,25.386658057179833,0.9536386132240295
20,0.23355617480618612,0.10848203301429749,17.19235842964078,0.8308899402618408,25.386658057179833,0.9536386132240295
21,0.23270074703863688,0.1076822429895401,17.249358465975263,0.8326902389526367,25.386658057179833,0.9536386132240295
22,0.23867826908826828,0.10786664485931396,17.239855770399984,0.832457959651947,25.386658057179833,0.9536386132240295
23,0.23468663543462753,0.1068531945347786,17.29548094422348,0.8353553414344788,25.386658057179833,0.9536386132240295
24,0.23265095800161362,0.1099434643983841,17.109262138058252,0.8243658542633057,25.386658057179833,0.9536386132240295
25,0.23882429088865006,0.10736171901226044,17.267266481103583,0.8341665267944336,25.386658057179833,0.9536386132240295
26,0.236134406711374,0.10639456659555435,17.32892548414187,0.8367279767990112,25.386658057179833,0.9536386132240295
27,0.23638488245861872,0.10918144136667252,17.162622707818556,0.8266032338142395,25.386658057179833,0.9536386132240295
28,0.23485696741512843,0.10972250998020172,17.11912596499819,0.8262000679969788,25.386658057179833,0.9536386132240295
29,0.235935454922063,0.10673952847719193,17.29160035760707,0.837213933467865,25.386658057179833,0.9536386132240295
30,0.23717225875173295,0.10647234320640564,17.305920546547785,0.8379572033882141,25.386658057179833,0.9536386132240295
31,0.2323154296193804,0.10805848985910416,17.232233912573086,0.8297568559646606,25.386658057179833,0.9536386132240295
32,0.23289761585848673,0.10733895748853683,17.280185199120403,0.8337984681129456,25.386658057179833,0.9536386132240295
33,0.23625983084951127,0.1057353988289833,17.36330836157552,0.8387832641601562,25.386658057179833,0.9536386132240295
34,0.23216247665030615,0.11043882369995117,17.08339023174151,0.8217790126800537,25.386658057179833,0.9536386132240295
35,0.2336610034108162,0.10779454559087753,17.25041918478865,0.831174373626709,25.386658057179833,0.9536386132240295
36,0.24169310182332993,0.10694434493780136,17.30123576321102,0.8351184725761414,25.386658057179833,0.9536386132240295
37,0.2278446044240679,0.10665378719568253,17.317046431648308,0.8367334604263306,25.386658057179833,0.9536386132240295
38,0.239227294921875,0.10616286098957062,17.333051443633998,0.8381622433662415,25.386658057179833,0.9536386132240295
39,0.2343414212976183,0.10741128027439117,17.258433618020213,0.8332378268241882,25.386658057179833,0.9536386132240295
40,0.2295658066868782,0.1076270267367363,17.244422018076474,0.8335138559341431,25.386658057179833,0.9536386132240295
41,0.23111917291368758,0.10612650960683823,17.34393686864072,0.8400495052337646,25.386658057179833,0.9536386132240295
42,0.2374032959342003,0.10735305398702621,17.289877631654115,0.8348475098609924,25.386658057179833,0.9536386132240295
43,0.22812151802437647,0.10776849836111069,17.24983726040645,0.8327763676643372,25.386658057179833,0.9536386132240295
44,0.23282433939831598,0.10803060978651047,17.232232629477476,0.8317119479179382,25.386658057179833,0.9536386132240295
45,0.23376725507634027,0.10704320669174194,17.285562979506093,0.8356390595436096,25.386658057179833,0.9536386132240295
46,0.23609429278544017,0.10634764283895493,17.325657252304623,0.8394477367401123,25.386658057179833,0.9536386132240295
47,0.2349642121366092,0.10794771462678909,17.24870412738604,0.832059383392334,25.386658057179833,0.9536386132240295
48,0.23544415831565857,0.10670468956232071,17.307924698421445,0.836560845375061,25.386658057179833,0.9536386132240295
49,0.2326327690056392,0.10499139875173569,17.408702919477733,0.8413178324699402,25.386658057179833,0.9536386132240295
50,0.24079716418470656,0.10594789683818817,17.361330484832298,0.836012601852417,25.386658057179833,0.9536386132240295
51,0.23371906791414535,0.10697381943464279,17.304471745730364,0.8338207602500916,25.386658057179833,0.9536386132240295
52,0.23555942944117955,0.10686501115560532,17.314830132547556,0.8352188467979431,25.386658057179833,0.9536386132240295
53,0.2317457805786814,0.10640229284763336,17.335005969804975,0.8371301889419556,25.386658057179833,0.9536386132240295
54,0.2347748162490981,0.10733671486377716,17.287749227324095,0.8330750465393066,25.386658057179833,0.9536386132240295
55,0.23153838515281677,0.109552301466465,17.147409095818343,0.8248634934425354,25.386658057179833,0.9536386132240295
56,0.22908511012792587,0.10706931352615356,17.291076184706093,0.8350706696510315,25.386658057179833,0.9536386132240295
57,0.23903061130217143,0.10623157769441605,17.332457904178938,0.8390210270881653,25.386658057179833,0.9536386132240295
58,0.23580572328397206,0.10752467811107635,17.262869986331534,0.8326449394226074,25.386658057179833,0.9536386132240295
59,0.23541906369583948,0.10802742838859558,17.242790786637805,0.8315203785896301,25.386658057179833,0.9536386132240295
60,0.240325394485678,0.10534274578094482,17.37777536535377,0.8424718976020813,25.386658057179833,0.9536386132240295
